data,hora,natureza,bairro,endereco,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,sinalizacao,condicao_via,conservacao_via,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1
2020-01-12 00:00:00,18:50:00,SEM VÍTIMA,ÁGUA FRIA,RUA JULIO RAMOS,,SUBURBIO,COLISÃO FRONTAL,COLISÃO ENTRE AUTO E MOTO S/V,1,1,,,,,,,,0,Cruzamento,Bom,Perfeito estado,Seca,Perfeito estado,Placas Pare,30 km/h,Única,
2020-01-12 00:00:00,20:38:00,SEM VÍTIMA,BOA VIAGEM,RUA MARQUES DE VALENCA,,CIDADE,ABALROAMENTO TRANSVERSAL,COLISÃO ENTRE DOIS AUTOS S/V,2,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Placas Pare,,Única,Não existe
2020-01-12 00:00:00,22:18:00,SEM VÍTIMA,PINA,AV HERCULANO BANDEIRA,660,SUBURBIO,ABALROAMENTO TRANSVERSAL,ENTRE 2 AUTOS. S/V,2,,,,,,,,,0,Cruzamento,Bom,Perfeito estado,Seca,Perfeito estado,Outras,,Única,Faixa seccionada
2020-01-13 00:00:00,06:13:00,SEM VÍTIMA,IPSEP,RUA JEAN EMILE FAVRE,,,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0,,,,,,,,,
2020-01-13 00:00:00,06:39:00,SEM VÍTIMA,ENCRUZILHADA,RUA FERNANDO CESAR,,CIDADE,ABALROAMENTO TRANSVERSAL,SEM VITIMAS,2,,,,,,,,,0,Cruzamento,Bom,Perfeito estado,Seca,Perfeito estado,Placas Pare,,Única,Faixa seccionada
2020-01-13 00:00:00,06:43:00,SEM VÍTIMA,ESTÂNCIA,AV RECIFE,261,SUBURBIO,COLISÃO TRASEIRA,AUTO E CAMINHÃO,1,,,,,,1,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Outras,60 km/h,Dupla,Faixa contínua
2020-01-13 00:00:00,07:02:00,SEM VÍTIMA,PRADO,RUA QUATRO DE OUTUBRO,,,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0,,,,,,,,,
2020-01-13 00:00:00,07:30:00,SEM VÍTIMA,TORRE,RUA REAL DA TORRE,,,ABALROAMENTO LONGITUDINAL,SEM VITIMAS,2,,,,,,,,,0,Longo da via,Chuvoso,Perfeito estado,Molhada,Perfeito estado,Outras,40 km/h,Única,Faixa seccionada
2020-01-13 00:00:00,07:51:00,SEM VÍTIMA,CORDEIRO,AV ENGENHEIRO ABDIAS DE CARVALHO,,CIDADE,COLISÃO TRASEIRA,COLISÃO SEM VITIMAS GM LUANA QTH,3,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Não há placas,60 km/h,Dupla,Canteiro central
2020-01-13 00:00:00,08:10:00,COM VÍTIMA,BAIRRO DO RECIFE,AV ALFREDO LISBOA,,,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1,,,,,,,,,
2020-01-13 00:00:00,08:19:00,COM VÍTIMA,ALTO JOSÉ BONIFÁCIO,RUA ALTO JOSE BONIFACIO,,CIDADE,CHOQUE VEÍCULO PARADO,COLISAO COM VITIMA. ENTRE UM ONIBUS E UMA MOTO,,1,,,,1,,,,1,Longo da via,Chuvoso,Perfeito estado,Molhada,Perfeito estado,Não há placas,,Dupla,Faixa seccionada
2020-01-13 00:00:00,08:24:00,SEM VÍTIMA,BARRO,AV DR JOSE RUFINO,,SUBURBIO,ABALROAMENTO TRANSVERSAL,COLISÃO SEM VITIMAS,1,1,,,,,,,,0,Cruzamento,Bom,Incompleta,Seca,Perfeito estado,Não há placas,,Dupla,Faixa seccionada
2020-01-13 00:00:00,09:08:00,SEM VÍTIMA,ESPINHEIRO,RUA SAO SALVADOR,,CIDADE,ABALROAMENTO LONGITUDINAL,DOIS AUTOS,2,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,R-6a,,Única,Não existe
2020-01-13 00:00:00,09:35:00,SEM VÍTIMA,ILHA JOANA BEZERRA,AV BEIRA RIO,,CIDADE,COLISÃO TRASEIRA,COLISÃO SEM VITIMAS,5,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Não há placas,,Dupla,Faixa contínua
2020-01-13 00:00:00,09:46:00,SEM VÍTIMA,BOA VIAGEM,RUA MAMANGUAPE,,,COLISÃO,SEM VITIMAS,2,,,,,,,,,0,,,,,,,,,
2020-01-13 00:00:00,09:48:00,SEM VÍTIMA,CASA AMARELA,RUA BENTO LOYOLA,,,ABALROAMENTO TRANSVERSAL,DOIS AUTOS,2,,,,,,,,,0,Cruzamento,Bom,Perfeito estado,Seca,Perfeito estado,Placas Pare,30 km/h,Dupla,Não existe
2020-01-13 00:00:00,09:55:00,SEM VÍTIMA,BOA VISTA,,209,,COLISÃO TRASEIRA,SEM VITIMAS,2,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Não há placas,,Única,Faixa contínua
2020-01-13 00:00:00,10:00:00,SEM VÍTIMA,SÃO JOSÉ,RUA DA CONCORDIA,,CIDADE,ABALROAMENTO TRANSVERSAL,DOIS AUTOS,2,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Outras,,Única,Não existe
2020-01-13 00:00:00,10:30:00,SEM VÍTIMA,BOA VISTA,RUA DA SOLEDADE,25,SUBURBIO,ABALROAMENTO LONGITUDINAL,SEM VITIMAS,1,,,,,,1,,,0,Cruzamento,Bom,Perfeito estado,Seca,Perfeito estado,R-6a,,Única,Faixa contínua
2020-01-13 00:00:00,10:31:00,COM VÍTIMA,IPUTINGA,AV CAXANGA,,CIDADE,COLISÃO TRASEIRA,DUAS MOTOS- GM REGO BARROS NO LOCAL,,2,,,,,,,,1,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,R-5a,60 km/h,,Canteiro central
2020-01-13 00:00:00,10:55:00,SEM VÍTIMA,IPSEP,AV RECIFE,,CIDADE,ABALROAMENTO LONGITUDINAL,COLISAO S/ VITIMA. ENTRE DOIS VEICULOS,2,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Outras,60 km/h,Única,Faixa seccionada
2020-01-13 00:00:00,11:24:00,SEM VÍTIMA,IPSEP,AV RECIFE,,AREIAS,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0,,,,,,,,,
